,open,high,low,close,volume
2024-01-24 10:00:00,172.988,173.031,171.343,171.421,905045
2024-01-24 11:00:00,171.382,172.409,171.333,171.843,616691
2024-01-24 12:00:00,171.814,172.439,171.774,172.299,775938
2024-01-24 13:00:00,172.304,172.816,171.828,172.725,842191
2024-01-24 14:00:00,172.71,172.786,172.264,172.392,839910
2024-01-24 15:00:00,172.353,172.736,172.017,172.427,1547744
2024-01-24 16:00:00,172.403,183.262,171.927,180.465,3302837
2024-01-24 17:00:00,180.47,187.067,180.35,186.035,541792
2024-01-24 18:00:00,185.93,187.067,172.354,186.005,670000
2024-01-24 19:00:00,172.363,186.82,172.354,186.719,611273
2024-01-25 04:00:00,186.921,186.939,184.909,185.381,15385
2024-01-25 05:00:00,185.365,185.809,185.008,185.292,6817
2024-01-25 06:00:00,185.137,185.293,184.324,184.984,22247
2024-01-25 07:00:00,185.028,186.007,183.323,183.765,95959
2024-01-25 08:00:00,185.216,186.879,182.184,182.606,196550
2024-01-25 09:00:00,182.68,192.964,182.521,192.759,7920102
2024-01-25 10:00:00,192.743,193.797,190.735,193.478,5634522
2024-01-25 11:00:00,193.452,195.145,192.559,193.887,4189652
2024-01-25 12:00:00,193.898,193.975,189.982,190.455,3564162
2024-01-25 13:00:00,190.518,190.962,189.081,189.175,1712551
2024-01-25 14:00:00,189.151,189.863,188.03,188.433,1922797
2024-01-25 15:00:00,188.398,188.792,187.01,188.77,3076713
2024-01-25 16:00:00,188.784,188.802,188.04,188.404,3198513
2024-01-25 17:00:00,188.536,188.554,172.354,172.378,5576
2024-01-25 18:00:00,188.289,188.732,172.354,188.156,1003755
2024-01-25 19:00:00,188.715,188.732,187.208,188.304,999486
2024-01-26 04:00:00,187.387,187.94,187.099,187.898,2066
2024-01-26 05:00:00,187.872,189.297,187.654,188.731,2708
2024-01-26 06:00:00,188.725,189.297,187.991,188.523,5035
2024-01-26 07:00:00,188.873,189.347,188.466,188.929,10752
2024-01-26 08:00:00,188.73,189.248,186.801,188.77,41861
2024-01-26 09:00:00,188.913,190.675,187.555,187.581,1405673
2024-01-26 10:00:00,187.565,187.964,186.207,186.636,1526240
2024-01-26 11:00:00,186.624,187.127,185.929,186.976,918873
2024-01-26 12:00:00,186.961,187.424,185.444,185.675,760389
2024-01-26 13:00:00,185.623,185.858,184.473,185.311,1088412
2024-01-26 14:00:00,185.287,185.541,184.75,185.123,704284
2024-01-26 15:00:00,185.107,185.739,184.711,185.698,1631579
2024-01-26 16:00:00,185.672,194.248,185.345,185.45,4230716
2024-01-26 17:00:00,185.444,185.71,185.186,185.43,3038
2024-01-26 18:00:00,185.425,185.749,185.404,185.549,1220434
2024-01-26 19:00:00,185.732,185.749,185.414,185.718,1225010
2024-01-29 04:00:00,185.702,185.947,185.513,185.629,496
2024-01-29 05:00:00,185.524,185.997,185.186,185.777,2285
2024-01-29 06:00:00,185.801,186.968,185.731,185.767,3405
2024-01-29 07:00:00,185.623,186.621,185.454,186.213,7724
2024-01-29 08:00:00,185.474,186.621,185.206,185.539,14424
2024-01-29 09:00:00,185.563,187.771,185.503,186.263,712759
2024-01-29 10:00:00,186.198,187.602,184.582,185.014,667777
2024-01-29 11:00:00,184.97,185.174,184.364,184.877,490762
2024-01-29 12:00:00,184.88,185.65,184.711,184.747,403993
2024-01-29 13:00:00,184.744,185.016,184.602,184.826,295708
2024-01-29 14:00:00,184.81,184.941,184.423,184.667,409239
2024-01-29 15:00:00,184.671,185.531,184.621,185.47,1143579
2024-01-29 16:00:00,185.484,185.581,184.364,185.252,4946167
2024-01-29 17:00:00,185.226,185.472,184.909,185.331,4383
2024-01-29 18:00:00,185.316,185.472,185.166,185.311,1498149
2024-01-29 19:00:00,185.454,185.472,185.176,185.46,1497398
2024-01-30 04:00:00,185.643,185.838,185.206,185.232,729
2024-01-30 05:00:00,185.207,185.333,185.117,185.242,177
2024-01-30 06:00:00,185.236,185.65,185.057,185.648,626
2024-01-30 07:00:00,185.325,185.819,185.156,185.391,3747
2024-01-30 08:00:00,185.653,185.838,184.909,184.936,2742
2024-01-30 09:00:00,184.969,186.774,184.732,185.648,468442
2024-01-30 10:00:00,185.623,186.968,185.37,186.511,512167
2024-01-30 11:00:00,186.475,186.74,185.415,185.642,443781
2024-01-30 12:00:00,185.633,186.056,185.429,185.838,371367
2024-01-30 13:00:00,185.784,185.9,185.176,185.262,378488
2024-01-30 14:00:00,185.246,185.878,185.137,185.827,361467
2024-01-30 15:00:00,185.811,186.324,185.602,186.154,1039206
2024-01-30 16:00:00,186.138,186.354,184.562,184.836,2456083
2024-01-30 17:00:00,184.82,186.195,184.314,184.865,8713
2024-01-30 18:00:00,184.85,186.195,184.81,184.875,744808
2024-01-30 19:00:00,186.178,186.324,184.859,186.035,743557
2024-01-31 04:00:00,186.009,186.77,185.414,185.817,3749
2024-01-31 05:00:00,185.365,185.7,185.355,185.678,126
2024-01-31 06:00:00,185.385,185.601,184.968,185.163,717
2024-01-31 07:00:00,185.613,186.493,185.394,185.837,4618
2024-01-31 08:00:00,185.583,186.661,185.256,185.292,6485
2024-01-31 09:00:00,185.276,185.977,184.463,185.143,390359
2024-01-31 10:00:00,185.117,185.858,184.611,185.083,488248
2024-01-31 11:00:00,185.018,185.135,183.997,184.162,631015
2024-01-31 12:00:00,184.126,184.297,183.422,183.607,415005
2024-01-31 13:00:00,183.571,183.638,182.857,183.295,549735
2024-01-31 14:00:00,183.304,183.628,182.778,182.824,519745
2024-01-31 15:00:00,182.828,182.935,181.48,181.952,1596374
2024-01-31 16:00:00,181.936,182.36,180.846,182.021,10562752
2024-01-31 17:00:00,181.352,182.36,181.341,182.15,1552
2024-01-31 18:00:00,182.135,182.36,181.995,182.279,3144787
2024-01-31 19:00:00,182.006,182.647,181.995,182.556,3145968
